title|likes|url
My Dud to Stud Boyfriend|1900000|https://www.webtoons.com/en/drama/my-dud-to-stud-boyfriend/list?title_no=4353
Love Bites|1900000|https://www.webtoons.com/en/romance/love-bites/list?title_no=7679
Lady Knight|1900000|https://www.webtoons.com/en/fantasy/lady-knight/list?title_no=2727
Killer Peter|1900000|https://www.webtoons.com/en/action/killer-peter/list?title_no=5816
Third Shift Society|1800000|https://www.webtoons.com/en/supernatural/third-shift-society/list?title_no=1703
The Stellar Swordmaster|1800000|https://www.webtoons.com/en/action/the-stellar-swordmaster/list?title_no=5988
My Villainous Family Won't Let Me Be|1800000|https://www.webtoons.com/en/fantasy/my-villainous-family-wont-let-me-be/list?title_no=6218
Cinderella Boy|1800000|https://www.webtoons.com/en/comedy/cinderella-boy/list?title_no=5912
Time-Limited Genius Dark Knight|1700000|https://www.webtoons.com/en/fantasy/time-limited-genius-dark-knight/list?title_no=5639
The Knight Only Lives Today|1700000|https://www.webtoons.com/en/fantasy/the-knight-only-lives-today/list?title_no=6672
So Not My Type|1700000|https://www.webtoons.com/en/comedy/so-not-my-type/list?title_no=6020
Only Hope|1700000|https://www.webtoons.com/en/romance/only-hope/list?title_no=5036
Made of Stardust|1700000|https://www.webtoons.com/en/fantasy/made-of-stardust/list?title_no=5516
Descended from Divinity|1700000|https://www.webtoons.com/en/fantasy/descended-from-divinity/list?title_no=3450
Cry, or Better Yet, Beg|1700000|https://www.webtoons.com/en/drama/cry-or-better-yet-beg/list?title_no=5815
Absolute Sword Sense|1700000|https://www.webtoons.com/en/action/absolute-sword-sense/list?title_no=5100
Reborn Rich|1600000|https://www.webtoons.com/en/drama/reborn-rich/list?title_no=4956
Our Walk Home|1600000|https://www.webtoons.com/en/romance/our-walk-home/list?title_no=3899
Avatar: The Last Airbender|1600000|https://www.webtoons.com/en/graphic-novel/avatar-the-last-airbender/list?title_no=6205
The Villainess Just Wants to Live in Peace!|1500000|https://www.webtoons.com/en/romance/the-villainess-just-wants-to-live-in-peace/list?title_no=6879
The Tax Reaper|1500000|https://www.webtoons.com/en/drama/the-tax-reaper/list?title_no=4115
The Second Lead Syndrome|1500000|https://www.webtoons.com/en/drama/the-second-lead-syndrome/list?title_no=2757
The Apothecary Prince|1500000|https://www.webtoons.com/en/fantasy/the-apothecary-prince/list?title_no=6335
Reality Quest|1500000|https://www.webtoons.com/en/action/reality-quest/list?title_no=4697
My Child Will Have a Different Father|1500000|https://www.webtoons.com/en/fantasy/my-child-will-have-a-different-father/list?title_no=7172
